uniqueID,UniqueLakeName,StudyID,Year,Month,Lat,Lon,LakeName,ChlValues,TP,TN,DOC,DO,LakeVolume,SurfaceArea,Depth.mean,Depth.max,Secchi,pH,HydroLAKES.Hylak_id,,Pro1,Pro2,Pro3,Pro4,Pro5,Pro6,Pro7,Pro8,Pro9,Pro10,Pro11,Pro12,Pro13,Pro14,Pro15,Pro16,Pro17,Population,Lake_area,Wshd_area,Buffer_size,Final_area,Country,NonHydroLakesWithAtLeastHalfWater,MostRecentMaxMonthOrMedianYear,Total_LU_Cells
newid000013,L0001,repo8,2018,,-78.1,163.85,Lake Miers,0.0008,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,3.136548491,Antarctica,0,1,33
newid000039,L0002,repo8,2018,,-77.73333,162.1667,East Lake Bonney,0.0009,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,3.136548491,Antarctica,0,1,36
newid000043,L0003,repo8,2003,,-77.71667,161.6246,Lake Joyce,0.0029,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,3.136548491,Antarctica,0,1,32
newid000069,L0004,repo8,2018,,-77.62847,162.8818,Lake Hoare,0.0019,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935,0.032258065,0,0,,,1,3.136548491,Antarctica,0,1,31
newid000095,L0005,repo8,2018,,-77.60976,163.1698,Lake Fryxell,0.0046,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,3.136548491,Antarctica,0,1,33
newid000101,L0006,repo8,2008,,-77.52963,161.5755,Lake Vanda,0.0003,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.060606061,0,0,0,0,0.757575758,0.181818182,0,0,,,1,3.136548491,Antarctica,0,1,33
newid000102,L0007,repo8,2004,,-77.43333,162.7667,Lake Brownworth,0.0007,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,3.136548491,Antarctica,0,1,32
newid000105,L0012,2950,2000,,-46.01667,170.083,Lake Waihola,0.0039,,,,,,5.44,,,,,185139,,0.086350975,0.161559889,0,0,0.002785515,0,0,0.027855153,0.417827298,0.206128134,0.036211699,0,0,0,0,0,0.061281337,466.2686157,5.52,81.1,3.141726239,76.6706664,New Zealand,0,1,359
newid000106,L0013,2960,2003,,-41.4616063,-72.5691535,Lake Chapo,0.0003,,,,,,,,,,,,,0.565217391,0.434782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243.529297,,,1,3.136548491,Chile,0,1,23
newid000107,L0014,13,2006,2,-41.35,-71.51666667,Juventus,0.0024,0.0099,,,,,0.04,,11,,,,,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,121.8145065,0.04,,1,3.136548491,Argentina,0,1,25
newid000108,L0015,13,2006,2,-41.25,-71.28333333,Patos ,0.0032,0.0096,,,,,0.01,,0.7,,,,,0,0,0,0.038461538,0.269230769,0,0,0.038461538,0,0.653846154,0,0,0,0,0,0,0,218.8535767,0.01,,1,3.136548491,Argentina,0,1,26
newid000110,L0016,13,2006,2,-41.1763314,-71.3230519,ÃƒÂ‘ireco,0.0005,0.0047,,,,,0.01,,1,,,,,0,0,0,0,0,0,0,0,0.375,0,0,0,0.625,0,0,0,0,200.8354645,0.0001,,1,3.136548491,Argentina,0,1,24
newid000111,L0017,13,2005,1,-41.0833333,-71.45,Fantasma ,0.0124,0.0516,,,,,0.0001,,0.5,,,,,0.62962963,0,0,0,0.037037037,0,0,0,0,0,0.111111111,0,0,0,0,0,0.222222222,137.7746124,0.0001,,1,3.136548491,Argentina,0,1,27
newid000112,L0018,13,2005,11,-41.0833333,-71.18333333,?Ã¹Â®irihuau,0.0011,0.014,,,,,0.0001,,1,,,,,0,0,0,0,0,0,0,0,0.222222222,0.185185185,0.037037037,0,0.148148148,0,0,0.222222222,0.185185185,57.28886414,0.0001,,1,3.136548491,Argentina,0,1,27
newid000113,L0019,13,2005,1,-41.0666667,-71.05,Juncos ,0.0252,0.5204,,,,,0.07,,1.5,,,,,0,0,0,0,0,0,0.185185185,0,0.185185185,0.62962963,0,0,0,0,0,0,0,5.95437336,0.07,,1,3.136548491,Argentina,0,1,27
newid000114,L0020,13,2006,2,-41.05,-71.5,Ezquerra ,0.0031,0.014,,,,,0.1,,3.5,,,,,0.464285714,0,0,0,0.142857143,0,0,0,0,0,0.071428571,0,0,0,0,0,0.321428571,133.3442078,0.1,,1,3.136548491,Argentina,0,1,28
newid000305,L0024,1237,2018,6,-38.3003,176.3939,Lake Okaro,0.047,0.102,0.94,,,,,,,,7,1426985,,0,0.1875,0,0,0,0,0,0.1875,0.03125,0.4375,0,0,0,0,0,0,0.15625,31.05177879,0.27,4.4,1,5.441315651,New Zealand,0,1,32
newid000501,L0025,1237,2018,1,-38.2897,176.5006,Lake Rerewhakaaitu,0.015,0.018,0.45,,,,,,,,7.4,185003,,0.006535948,0.392156863,0,0,0,0,0,0.098039216,0.006535948,0.418300654,0.019607843,0,0,0,0,0,0.058823529,127.5830154,5.01,31.2,1.664096162,31.37247724,New Zealand,0,1,153
newid000691,L0026,1237,2018,4,-38.266,176.4386,Lake Rotomaha,0.0143,0.05,0.2,,,,,,,,7.4,184998,,0.036649215,0.638743455,0,0,0,0,0,0.065445026,0,0.162303665,0,0,0,0,0,0,0.096858639,92.85810852,8.44,82.1,3.078250893,80.90703737,New Zealand,0,1,382
newid000887,L0027,1237,2018,1,-38.1997,176.4243,Lake Tarawera,0.0037,0.027,0.13,,,,,,,,7.800000191,16654,,0.027027027,0.738738739,0,0,0,0,0,0.030888031,0.003217503,0.07014157,0.001287001,0,0,0,0,0,0.128700129,1063.70459,40.78,344.3,5.76702332,332.395716,New Zealand,0,1,1554
newid001087,L0028,1237,2018,6,-38.1971,176.3303,Lake Tikitapu,0.0066,0.004,0.16,,,,,,,,6.5,184990,,0.020833333,0.833333333,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0.104166667,111.8140564,1.4,5.2,1,9.165824213,New Zealand,0,1,48
newid001291,L0029,1237,2018,6,-38.1674,176.3581,Lake Okareka,0.01,0.019,0.2,,,,,,,,7.3,184986,,0.029411765,0.578431373,0,0,0,0,0,0.068627451,0,0.215686275,0,0,0,0,0,0,0.107843137,654.9129028,3.21,20.4,1.477776343,20.65079389,New Zealand,0,1,102
newid001487,L0030,1237,2018,6,-38.1149,176.4236,Lake Okatai,0.0033,0.011,0.08,,,,,,,,7.4,16652,,0.058631922,0.804560261,0,0,0,0,0,0.013029316,0.006514658,0.016286645,0.003257329,0,0,0,0,0,0.09771987,214.6421509,10.58,61.3,2.077674403,65.19788406,New Zealand,0,1,307
newid001891,L0031,1237,2018,6,-38.0686,176.2832,Lake Rotorua,0.0193,0.016,0.33,,,,,,,,6.8,16649,,0.009148767,0.356801909,0,0,0.001193317,0,0,0.202068417,0.035799523,0.203659507,0.016308671,0,0.035003978,0,0,0,0.140015911,58008.71094,79.82,502.5,7.935851905,538.2383352,New Zealand,0,1,2514
newid002082,L0032,1237,2018,4,-38.0578,176.5911,Lake Rotoma,0.0019,0.008,0.11,,,,,,,,7.5,16647,,0.028571429,0.577142857,0,0,0,0,0,0.08,0.005714286,0.125714286,0,0,0,0,0,0,0.182857143,217.4015961,10.78,29.6,1.35437186,36.6907088,New Zealand,0,1,175
newid002482,L0033,1237,2018,5,-38.0449,176.4245,Lake Rotoiti,0.0151,0.026,0.17,,,,,,,,7.4,16646,,0.014972145,0.554317549,0,0,0.003481894,0,0,0.127089136,0.013231198,0.122910864,0.008008357,0,0,0,0,0,0.155988858,8164.796387,32.65,708.9,9.354700773,614.8115763,New Zealand,0,1,2872
newid002690,L0034,1237,2018,4,-38.0244,176.5349,Lake Rotoehu,0.0267,0.076,0.52,,,,,,,,8,184967,,0.011204482,0.658263305,0,0,0,0,0,0.117647059,0,0.151260504,0.005602241,0,0,0,0,0,0.056022409,311.9493713,7.35,78.6,2.826015815,74.92686124,New Zealand,0,1,357
newid002724,L0035,72,2015,3,-37.83337186,-71.09999232,Lake Caviahue,0.0011,,,,,,,,,,,1112296,,0,0,0,0,0,0.016393443,0,0,0.032786885,0.475409836,0,0,0,0,0,0.409836066,0.06557377,16.28627777,0.42,13.1,1.452148649,11.76758247,Argentina,0,1,61
newid002727,L0036,13,2006,9,-36.8,-57.78333333,Kakel Huincul,0.0008,0.0361,,,,,20,,1.5,,,,,0.000819672,0,0,0,0,0,0,0,0.695081967,0.247131148,0.012295082,0.008196721,0.010655738,0,0,0,0.025819672,1523.431885,20,,12.58624812,496.8720686,Argentina,0,1,2440
newid002732,L0037,844,2010,10,-35.85,-57.86666667,Triunfo Lake,0.019,0.3475,,,8.34,,,,,7,9.38,,,0,0,0,0,0,0,0,0,0.925925926,0,0.074074074,0,0,0,0,0,0,89.32213593,1.5,,1,3.136548491,Argentina,0,1,27
newid002739,L0038,13,2006,9,-35.8166667,-57.81666667,Lacombe,0.043,0.0722,,,,,1.3,,1.5,,,,,0,0,0,0,0,0,0,0,0.730769231,0.115384615,0.038461538,0,0,0,0,0,0.115384615,87.71615601,,,1,3.136548491,Argentina,0,1,26
newid002740,L0039,13,2005,1,-35.7833333,-57.86666667,Salada ,0.0644,0.0622,,,,,4.5,,2,,,122546,,0,0.001587302,0,0,0,0,0.001587302,0,0.866666667,0.074603175,0.020634921,0.004761905,0,0,0,0,0.03015873,1657.590698,2.28,89.1,5.296459885,134.3758219,Argentina,0,1,630
newid002742,L0040,844,2010,11,-35.7,-57.91666667,Burro Lake,0.0757,0.1675,,,10.575,,,,,1.65,8.77,,,0,0,0,0,0,0,0,0,0.666666667,0.074074074,0,0,0,0,0,0,0.259259259,67.62854004,,,1,3.136548491,Argentina,0,1,27
newid002745,L0041,13,2006,9,-35.66831093,-57.80594886,San Jorge ,0.359,0.1182,,,,,3,,1.7,,,,,0,0,0,0,0,0,0,0,0.6,0,0.28,0,0,0,0,0,0.12,73.51899719,3,,1,3.136548491,Argentina,0,1,25
newid002748,L0042,13,2006,9,-35.6166667,-57.8,"Limpia


",0.0582,0.6887,,,,,5.6,,1.9,,,,,0,0,0,0,0,0,0,0,0.928571429,0.029649596,0.013477089,0,0,0,0,0,0.028301887,1777.881836,5.6,,6.834782265,146.521506,Argentina,0,1,742
newid002752,L0043,771,2008,,-35.591817,-58.057784,Lagu Chascomus,0.309,0.629,2.68,,,,30.1,1.9,,0.11,9,10521,,0,0,0,0,0,0,0.00034638,0,0.663318324,0.184274333,0.026671285,0.006581226,0.027710426,0,0,0,0.091098026,6646.652344,27.28,696.9,10.45418186,618.079978,Argentina,0,1,2887
newid002754,L0045,844,2010,10,-35.58333333,-57.91666667,Yalca Lake,0.0176,0.235,,,8.92,,,,,1.4,8.43,122411,,0,0,0,0,0,0,0.00617284,0,0.858024691,0.024691358,0.00617284,0.018518519,0,0,0,0,0.086419753,457.6918335,3.48,37.2,2.087692101,33.98002497,Argentina,0,1,162
newid002756,L0046,13,2005,11,-35.5833333,-57.9,Yalka ,0.0885,0.126,,,,,10.6,,1.4,,,,,0,0,0,0,0,0,0,0,0.899851632,0.034866469,0.005192878,0,0.021513353,0,0,0,0.038575668,3115.206543,10.6,,9.28206774,270.2349231,Argentina,0,1,1348
newid002757,L0047,13,2005,11,-35.5333333,-58.11666667,Vitel ,0.2289,0.0802,,,,,14.6,,1.6,,,10520,,0,0,0,0,0,0,0.000492368,0,0.640571147,0.247661251,0.011816839,0.004923683,0.032988676,0,0,0,0.061546036,4716.408203,11.04,509.3,9.457602646,433.7218323,Argentina,0,1,2031
newid002759,L0048,42,2011,,-35.445,139.082,Lakes Alexandria and Albert,0.054,,,,,,,,,,8.3,1692,,0,0.00015108,0,0.000679861,0.001359722,0.00030216,0.003625925,0.003701465,0.028554162,0.365311981,0.027647681,0.180163167,0.000377701,0,0,0.002946064,0.38517903,14709.10156,862.54,2096.4,10.65273288,2841.668452,Australia,0,1,13238
newid002760,L0049,13,2005,11,-35.42,-57.55,Burro,0.0632,0.0468,,,,,10.2,,2.2,,,,,0,0,0,0,0,0,0,0,0.745173745,0.227027027,0,0,0,0,0,0,0.027799228,2179.299805,10.2,,9.112379929,260.4447717,Argentina,0,1,1295
newid002763,L0050,1261,2007,,-35.37050433,150.4401827,Burrill Lake,0.0176,,,,,,,,,,,,,0.034482759,0.551724138,0,0,0,0,0,0,0,0,0.103448276,0,0,0,0,0,0.310344828,711.9266357,,,1,3.136548491,Australia,0,1,29
newid002764,L0051,394,2010,,-35.294302,149.107614,Lake Burley Griffin,0.0467,,,,,,,,,0.71,,184821,,0.086076954,0.000396668,0,0,0.000793336,0.000264445,0.002380008,0.096786989,0.092291419,0.551236282,0.00595002,0.001057781,0.16236943,0,0,0.000132223,0.000264445,398583.8125,5.62,1877.1,20.36589878,1622.630456,Australia,0,1,7563
newid002768,L0053,22,2007,,-33.523,-53.13,lake Mangueira,0.0014,0.015,0.14,9.817,,,,,,,7.252,968,,0,0.001122625,0,0,0,0,0.000345423,0,0.227029361,0.157599309,0.048100173,0.078670121,0,0.000172712,0,0.069602763,0.417357513,2104.633301,763.41,1841.9,7.611533427,2482.157989,Brazil,0,1,11580
newid002780,L0057,860,2010,,-32.07861111,-52.1675,Lake Biguls,0.0104,0.04,0.7,,6.27,,0.015,,2,,7.89,,,0,0,0,0,0,0,0,0,0,0.125,0,0,0.875,0,0,0,0,17761.63281,0.015,,1,3.136548491,Brazil,0,1,24
newid002781,L0061,104,2016,,-28.1539822,153.2824011,Little Nerang Dam Reservoir,0.0111,0.027,0.36,3.15,,,,,,1.36,7.68,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.01296234,,,1,3.136548491,Australia,0,1,30
newid002793,L0064,93,2017,3,-26.89472,28.14555,Vaal Damn Reservoir,0.0037,,,,,2540000000,321,22.5,,,,1657,,0,0,0,6.48E-06,0,0,6.48E-05,0,0,0.613891409,0.001412466,0.310250097,0.068420371,0.000226772,0,0.002183491,0.003544123,9186840,287.81,38545,83.76106947,33060.69645,South Africa,0,1,154340
